Location_ID1,Asset_No,Asset_Category,Equipment_Group,Type3,component_type,Manufacturer1,Model1,Serial1,External_Ref,Status,Install_date,Last_Inspection_Date1,Condition1,Description,Lanes,Chainage,Direction,Lat,Long,Group ID
M07_0121_ANP_1,949,ANPR ,TCIS  Parent Equipment,3M P392,,3M,P392,15698,617,Installed,41333,45449,Good,ANPR PIPS P392,2,46,Northbound,53.1548,-6.95252,NOT-IN-SCOPE
M07_0127_3GR_1,943,3G Routers,Comms,VIRTUAL ACCESS GW2000,,VIRTUAL ACCESS,GW2000,00E0C800FF95,311,Installed,41792,45362,Mediocre,VIRTUAL ACCESS GW2000,2,109,Northbound,52.9225,-7.66044,NOT-IN-SCOPE
M07_0136_3GR_1,81841,3G Routers,Comms,VIRTUAL ACCESS GW2020,,VIRTUAL ACCESS,GW2020,Sn0387,888,Installed,41426,45376,Good,VIRTUAL ACCESS GW2020,2,165,Southbound,52.7769,-8.37783,NOT-IN-SCOPE
M07_0136_VMS_1,3158,  MS4,VMS,VMS SES SCU3,,SES,SCU3v3,76871,VMS 136,Installed,42053,45447,Good,VARIABLE MESSAGE SIGN SCU3v3,2,165,Southbound,52.7769,-8.37789,NOT-IN-SCOPE
M07_0138_3GR_1,3167,3G Routers,Comms,VIRTUAL ACCESS GW2000,,VIRTUAL ACCESS,GW2000,00E0C800FF92,283,Installed,41792,45377,Good,VIRTUAL ACCESS GW2000,2,166,Southbound,52.7602,-8.40066,NOT-IN-SCOPE
M07_0153_3GR_1,81995,3G Routers,Comms,VIRTUAL ACCESS GW2028,,VIRTUAL ACCESS,GW2028,00E0C8134DEE,956/ VMS 153,Installed,43564,45272,Good,VIRTUAL ACCESS GW2028,2,120,Southbound,52.9228,-7.7909,NOT-IN-SCOPE
M07_0154_3GR_1,82006,3G Routers,Comms,VIRTUAL ACCESS GW2028,,VIRTUAL ACCESS,GW2028,00E0C8138DDF,,Installed,43564,45272,Good,VIRTUAL ACCESS GW2028,2,129,Southbound,52.8866,-7.94136,NOT-IN-SCOPE
M07_0155_3GR_1,82027,3G Routers,Comms,VIRTUAL ACCESS GW2028,,VIRTUAL ACCESS,GW2028,00E0C8138DF3,,Installed,43564,45272,Good,VIRTUAL ACCESS GW2028,2,130,Northbound,52.8859,-7.94965,NOT-IN-SCOPE
M07_0156_3GR_1,82125,3G Routers,Comms,VIRTUAL ACCESS GW2028,,VIRTUAL ACCESS,GW2028,2019156,992,Installed,43564,45272,Good,VIRTUAL ACCESS GW2028,2,143,Westbound,52.8613,-8.11171,NOT-IN-SCOPE
M07_0157_3GR_1,82031,3G Routers,Comms,VIRTUAL ACCESS GW2028,,VIRTUAL ACCESS,GW2028,00E0C8138FB7,1007,Installed,43564,45272,Good,VIRTUAL ACCESS GW2028,2,144,Northbound,52.8583,-8.12753,NOT-IN-SCOPE
M07_0158_3GR_1,82131,3G Routers,Comms,VIRTUAL ACCESS GW2028,,VIRTUAL ACCESS,GW2028,00E0C8138FB9,994,Installed,43564,45272,Good,VIRTUAL ACCESS GW2028,2,168,Northbound,52.7536,-8.41765,NOT-IN-SCOPE
M07_0205_CCT_1,91559,CCTV Cameras,CCTV,AXIS - Q6215-LE,,AXIS,Q6215-LE,b8a44f1d06e8,STRATOCAST,Installed,44999,45432,Good,STRATOCAST CCTV CAMERA,,20.5,WESTBOUND,53.2347,-6.63472,M7W-J9J9-20751W
M07_023.0_E_TMU,987680046,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,Q-Free,TMU2,2310,1074,Installed,44499,45344,Good,,,,Eastbound,53.23643,-6.62615,N7E-J9J8-20135E
M07_0245_CCT_1,91560,CCTV Cameras,CCTV,AXIS - Q6215-LE,,AXIS,Q6215-LE,b8a44f1d06b4 ,STRATOCAST,Installed,45000,45428,Good,STRATOCAST CCTV CAMERA,,24.5,NORTHBOUND,53.2356,-6.68342,M7E-J9AJ9A-24365E
M07_025.0_E_3GR,EA11452,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,20072,20072,Installed,40909,,Good,,0,25,E,53.2414,-6.66288,M7E-J9AJ9-22859E
M07_025.0_E_BTD,EA13014,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10044,40072,Installed,41941,,Good,Bluetooth Detector M7,0,25,Eastbound,53.2414,-6.66288,M7E-J9AJ9-22859E
M07_025.0_E_TMU,EA11169,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,2325,20072,Installed,40909,45086,Good,TDC TMU MAINS ,0,25,Eastbound,53.2414,-6.66288,M7E-J9AJ9-22859E
M07_028.5_E_TMU,987680082,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,Q-Free,TMU2,2309,1075,Installed,44487,45344,Good,,,,Eastbound,53.22329,-6.6989,M7E-J9AJ10-26089E
M07_030.0_W_3GR,EA11453,3G Routers,Comms,VIRTUAL ACCESS GW2000,,VIRTUAL ACCESS,GW2000,20073,20073,Installed,40909,,Good,,,30,SouthWestbound,53.1834,-6.7355,M7W-J11J10-31252W
M07_030.0_W_BTD,EA13019,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10054,40073,Installed,41948,,Good,Bluetooth Detector M7,0,30,Westbound,53.183406,-6.735517,M7W-J11J10-31252W
M07_031.0_W_TMU,EA11170,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,Q-Free,TMUX,10373,1076,Installed,45305,45142,Good,TDC TMU MAINS,6,31,Westbound,53.1834,-6.7355,M7W-J11J10-31252W
M07_035.0_N_3GR,EA11454,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,20074,20074,Installed,40909,,Good,,0,35,NE,53.1664,-6.76811,M7E-J11J12-34200E
M07_035.0_N_BTD,EA13013,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10053,40074,Installed,41941,,Good,Bluetooth Detector M7,0,35,Northbound,53.1664,-6.76811,M7E-J11J12-34200E
M07_035.0_N_TMU,EA11171,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1231,20074,Installed,40909,45089,Good,TDC TMU MAINS ,0,35,Northbound,53.1664,-6.76811,M7E-J11J12-34200E
M07_040.0_E_3GR,EA11455,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,20075,20075,Installed,40909,,Good,,0,40,E,53.1588,-6.85208,NOT-IN-SCOPE
M07_040.0_E_BTD,EA13002,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10079,40075,Installed,41928,,Good,Bluetooth Detector M7,0,40,Eastbound,53.1588,-6.85208,NOT-IN-SCOPE
M07_040.0_E_TMU,EA11172,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1241,20075,Installed,40909,45111,Good,TDC TMU SOLAR ,0,40,Eastbound,53.1588,-6.85208,NOT-IN-SCOPE
M07_045.0_E_BTD,EA13020,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10055,40076,Installed,41948,,Good,Bluetooth Detector M7,0,45,Eastbound,53.154712,-6.952647,NOT-IN-SCOPE
M07_065.0_S_3GR,EA11457,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,20077,20077,Installed,40909,,Good,,0,65,SouthWestbound,53.092,-7.16771,NOT-IN-SCOPE
M07_065.0_S_BTD,EA13004,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10081,40077,Installed,41933,,Good,Bluetooth Detector M7,0,65,SouthWestbound,53.092,-7.16771,NOT-IN-SCOPE
M07_065.0_S_TMU,EA11174,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,2286,20077,Installed,40909,45111,Good,TDC TMU SOLAR ,0,65,Southbound,53.092,-7.16771,NOT-IN-SCOPE
M07_070.0_S_3GR,EA11458,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,20078,20078,Installed,40909,,Good,,0,70,SouthWestbound,53.0526,-7.23607,NOT-IN-SCOPE
M07_070.0_S_BTD,EA13005,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10039,40078,Installed,41933,,Good,Bluetooth Detector M7,0,70,SouthWestbound,53.0526,-7.23607,NOT-IN-SCOPE
M07_070.0_S_TMU,EA11175,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1247,20078,Installed,40909,45111,Good,TDC TMU SOLAR,0,70,Southbound,53.0526,-7.23607,NOT-IN-SCOPE
M07_080.0_W_3GR,EA11459,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,20079,20079,Installed,40909,,Good,,0,80,Westbound,53.0131,-7.29836,NOT-IN-SCOPE
M07_080.0_W_BTD,EA13012,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10049,40079,Installed,41941,,Good,,0,80,Westbound,53.0131,-7.29836,NOT-IN-SCOPE
M07_080.0_W_TMU,EA11176,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1261,20079,Installed,40909,45111,Good,TDC TMU MAINS,0,80,Westbound,53.0131,-7.29836,NOT-IN-SCOPE
M07_110.0_E_3GR,EA11548,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200717,200717,Installed,40909,,Good,,0,110,E,52.9231,-7.65301,NOT-IN-SCOPE
M07_110.0_E_BTD,EA13017,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10098,400717,Installed,41947,,Good,,0,110,E,52.9231,-7.65301,NOT-IN-SCOPE
M07_110.0_E_TMU,EA11265,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1002,200717,Installed,40909,45120,Good,TDC TMU MAINS ,0,110,Eastbound,52.9231,-7.65301,NOT-IN-SCOPE
M07_125.00_N_3GR,EA11547,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200716,200716,Installed,40909,,Good,,0,125,NE,52.9004,-7.90311,NOT-IN-SCOPE
M07_125.00_N_BTD,EA13011,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10090,400716,Installed,41935,,Good,,0,125,NE,52.9004,-7.90311,NOT-IN-SCOPE
M07_125.00_N_TMU,EA11264,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1078,200716,Installed,40909,45112,Good,TDC TMU SOLAR ,0,125,Northbound,52.9004,-7.90311,NOT-IN-SCOPE
M07_130.00_E_3GR,EA11546,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200715,200715,Installed,40909,,Good,,0,130,E,52.8834,-7.97528,NOT-IN-SCOPE
M07_130.00_E_BTD,EA13007,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10078,400715,Installed,41933,,Good,,0,130,E,52.8834,-7.97528,NOT-IN-SCOPE
M07_130.00_E_TMU,EA11263,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1226,200715,Installed,40909,45112,Good,TDC TMU SOLAR ,0,130,Eastbound,52.8834,-7.97528,NOT-IN-SCOPE
M07_145.00_S_3GR,EA11549,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200718,200718,Installed,40909,,Good,,0,145,SouthWestbound,52.8548,-8.13971,NOT-IN-SCOPE
M07_145.00_S_BTD,EA13006,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10035,400718,Installed,41933,,Good,,0,145,SouthWestbound,52.8548,-8.13971,NOT-IN-SCOPE
M07_145.00_S_TMU,EA11266,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1116,200718,Installed,40909,45112,Good,TDC TMU SOLAR,0,145,Southbound,52.8548,-8.13971,NOT-IN-SCOPE
M07_150.0_N_3GR,EA11550,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200719,200719,Installed,40909,,Good,,0,150,N,52.848,-8.16945,NOT-IN-SCOPE
M07_150.0_N_BTD,EA13015,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10051,400719,Installed,41942,,Good,,0,150,N,52.848,-8.16945,NOT-IN-SCOPE
M07_150.0_N_TMU,EA11267,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1199,200719,Installed,40909,45112,Mediocre,TDC TMU MAINS ,0,150,Northbound,52.848,-8.16945,NOT-IN-SCOPE
M07_163.0_W_TMU,83408,Traffic Monitoring Units,Monitoring Detectors,UTC-L,,Q-Free,UTC-L,6300,100720,Installed,1,45173,Good,Q-FREE TDC TMU,,,Westbound,52.7775,-8.377,NOT-IN-SCOPE
M07_170.00_N_3GR,EA11551,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200720,200720,Installed,40909,,Good,,0,170,NE,52.7619,-8.39795,NOT-IN-SCOPE
M07_170.00_N_BTD,EA13010,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10050,400720,Installed,41934,,Good,,0,170,NE,52.7619,-8.39795,NOT-IN-SCOPE
M07_170.00_N_TMU,EA11268,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1214,200720,Installed,40909,45177,Good,TDC TMU SOLAR,0,170,Northbound,52.7619,-8.39795,NOT-IN-SCOPE
M07_170.00_S_3GR,EA11552,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200721,200721,Installed,40909,,Good,,0,170,SouthWestbound,52.7529,-8.41886,NOT-IN-SCOPE
M07_170.00_S_BTD,EA13008,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10080,400721,Installed,41934,,Good,,0,170,SouthWestbound,52.7529,-8.41886,NOT-IN-SCOPE
M07_170.00_S_TMU,EA11269,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1190,200721,Installed,40909,45176,Good,TDC TMU MAINS ,0,170,Southbound,52.7529,-8.41886,NOT-IN-SCOPE
M07_180.00_N_3GR,EA11553,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200722,200722,Installed,40909,,Good,,0,180,N,52.6673,-8.51609,NOT-IN-SCOPE
M07_180.00_N_BTD,EA13009,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10047,400722,Installed,41934,,Good,,0,180,N,52.6673,-8.51609,NOT-IN-SCOPE
M07_180.00_N_TMU,EA11270,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1220,200722,Installed,40909,45174,Good,TDC TMU SOLAR ,0,180,Northbound,52.6673,-8.51609,NOT-IN-SCOPE
M07_190.0_N_3GR,EA11544,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,200713,200713,Installed,40909,,Good,,0,190,N,52.6395,-8.58542,NOT-IN-SCOPE
M07_190.0_N_BTD,EA13016,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10096,400713,Installed,41947,,Good,,0,190,N,52.6395,-8.58542,NOT-IN-SCOPE
M07_190.0_N_TMU,EA11261,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1050,200713,Installed,40909,45176,Good,TDC TMU MAINS ,0,190,Southbound,52.6395,-8.58542,NOT-IN-SCOPE
M07_45.00_E_3GR,EA11456,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,20076,20076,Installed,40909,,Good,,0,45,E,53.1547,-6.95265,NOT-IN-SCOPE
M07_45.00_E_TMU,EA11173,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1137,20076,Installed,40909,45111,Good,TDC TMU MAINS ,0,45,Eastbound,53.1547,-6.95265,NOT-IN-SCOPE
M7_038.5_W_Driver,83404,Dynamic Warning Sign,DWS,Daktronics SWS Mains,,Carra Group,ComsHub,N/A,,Installed,44151,,Good,,,385,Westbound,53.1618,-6.82631,NOT-IN-SCOPE
M7_038_W_Driver,83396,Dynamic Warning Sign,DWS,Daktronics SWS Mains,,Carra Group,,N/A,,Installed,44150,,Good,,,38,Westbound,53.1622,-6.82085,M7W-J12J12-38052W
M7_044.5_W_Driver,83406,Dynamic Warning Sign,DWS,Daktronics SWS Mains,,Carra Group,,N/A,,Installed,44152,,Good,,,445,Westbound,53.1513,-6.9182,NOT-IN-SCOPE
M7_044_W_Driver,83405,Dynamic Warning Sign,DWS,Daktronics SWS Mains,,Carra Group,,N/A,,Installed,44152,,Good,,,44,Westbound,53.1514,-6.91338,NOT-IN-SCOPE
M7_045_W_Driver,83407,Dynamic Warning Sign,DWS,Daktronics SWS Mains,,Carra Group,,N/A,,Installed,44151,,Good,,,45,Westbound,53.1522,-6.92347,NOT-IN-SCOPE
M7_B4_J16_Main_East,3203,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,1,,Good,,0,,,53.056099,-7.232198,NOT-IN-SCOPE
M7_B4_J16_Main_West,3205,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,1,,Good,,0,,,53.0453,-7.242864,NOT-IN-SCOPE
M7_J16_Slip_rd_East,3204,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,1,,Good,,0,,,53.04966251,-7.240775706,NOT-IN-SCOPE
M7_J16_Slip_rd_West,3206,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,1,,Good,,0,,,53.05050736,-7.238039853,NOT-IN-SCOPE
M7_J17_Main_East,3208,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,,,Good,,0,,,,,NOT-IN-SCOPE
M7_J17_Main_West,3209,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,,,Good,,0,,,,,NOT-IN-SCOPE
M7_J17_Slip_Rd_East,3202,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,1,,Good,,0,,,53.01368634,-7.305139923,NOT-IN-SCOPE
M7_J17_Slip_Rd_West,3207,Vehicle Activated Signs,DWS,Wrong Way Driver Sign,,,,,,Installed,1,,Good,,0,,,53.01297067,-7.301571252,NOT-IN-SCOPE
M7E-J11J10-28670E-VMST,954,  MS3,VMS,VMS MS3 HD (376x88),,Daktronics,MS3 HD 3x18,201109558,473,Installed,41249,45448,Good,VARIABLE MESSAGE SIGN MS3 HD 3x18,2,28.5,Northbound,53.1924,-6.72592,M7E-J10J11-30067E
M7E-J14J13-46950E-VMST,950,  MS3,VMS,VMS MS3 HD (376x88),,Daktronics,MS3 HD 3x18,201109559,318,Installed,41331,45356,Good,VARIABLE MESSAGE SIGN MS3 HD 3x18,2,46,Northbound,53.1548,-6.95252,NOT-IN-SCOPE
M7E-J22J21-108825E-VMST,944,  MS3,VMS,VMS MS3 HD (376x88),,Daktronics,MS3 HD 3x18,201109562,309,Installed,41263,45363,Good,VARIABLE MESSAGE SIGN MS3 HD 3x18,2,109,Northbound,52.9225,-7.66059,NOT-IN-SCOPE
M7E-J24J23-130145E-VMST,82029,  MS4,VMS,VMS VF2360 (128x224),,Daktronics,VF2360,20190155,989 / VMS 155,Installed,43564,45377,Good,VARIABLE MESSAGE SIGN VF2360,2,130,Northbound,52.8859,-7.94965,NOT-IN-SCOPE
M7E-J25J24-142805E-VMST,82032,  MS4,VMS,VMS VF2360 (128x224),,Daktronics,VF2360,2019157,985/ VMS 157,Installed,43564,45447,Good,VARIABLE MESSAGE SIGN VF2360,2,144,Northbound,52.8583,-8.12753,NOT-IN-SCOPE
M7E-J28J27-167740E-VMST,82132,  MS4,VMS,VMS VF2360 (128x224),,Daktronics,VF2360,20190158,999/VMS 158,Installed,43564,45377,Good,VARIABLE MESSAGE SIGN VF2360,2,168,Northbound,52.7536,-8.41765,NOT-IN-SCOPE
M7W-J10J11-31230W-VMST,340,  MS3,VMS,VMS MS3 HD (376x88),,Daktronics,MS3 HD 3x18,201009241,235,Installed,40841,45449,Good,VARIABLE MESSAGE SIGN MS3 HD 3x18,2,31.5,Southbound,53.1833,-6.73548,M7W-J11J10-31252W
M7W-J18J19-94500W-VMST,347,  MS3,VMS,VMS MS3 HD (376x88),,Daktronics,MS3 HD 3x18,201005098,213,Installed,41821,45366,Good,VARIABLE MESSAGE SIGN MS3 HD 3x18,2,94.5,Southbound,52.9322,-7.46786,NOT-IN-SCOPE
M7W-J22-118130W-VMST,81997,  MS4,VMS,VMS VF2360 (128x224),,Daktronics,VF2360,20190153,990/ VMS 153,Installed,43564,45366,Good,VARIABLE MESSAGE SIGN VF2360,2,120,Southbound,52.9228,-7.7909,NOT-IN-SCOPE
M7W-J22J23-129630W-VMST,82007,  MS4,VMS,VMS VF2360 (128x224),,Daktronics,VF2360,20190154,986/ VMS 154,Installed,43564,45366,Good,VARIABLE MESSAGE SIGN VF2360,2,129,Southbound,52.8866,-7.94136,NOT-IN-SCOPE
M7W-J23J24-141685W-VMST,82134,  MS4,VMS,VMS VF2360 (128x224),,Daktronics,VF2360,1391063/1387219,997/VMS 156,Installed,43564,45377,Good,VARIABLE MESSAGE SIGN VF2360,2,143,Southbound,52.8613,-8.11171,NOT-IN-SCOPE
M7W-J26J27-165870W-VMST,3166, Large Urban,VMS,VMS RGB (192x72),,Daktronics,DD 2014 (192 x 72),201411030,884,Installed,42145,45447,Good,VARIABLE MESSAGE SIGN DD 2014 (192 x 72),0,166,Southbound,52.7602,-8.40067,NOT-IN-SCOPE
N07_000.0_S_3GR,EA11309,3G Routers,Comms,TDC Telit MOD3G,,TDC Telit,MOD3G,1072,1072,Installed,40909,,Good,,8,0,SouthWestbound,53.3049,-6.41113,N7W-J2J1A-3547W
N07_000.0_S_BTD,EA13001,Bluetooth Detectors,Monitoring Detectors,Bluetooth,,Bluetooth,,10084,4072,Installed,41928,,Good,,8,0,SouthWestbound,53.3049,-6.41113,N7W-J2J1A-3547W
N07_000.0_W_TMU,EA11026,Traffic Monitoring Units,Monitoring Detectors,TDC - TMU2,,TDC,TMU2,1269,1072,Installed,40909,45273,Good,,8,0,SouthWestbound,53.3049,-6.41113,N7W-J2J1A-3547W
